Team,Agent,Role,Character Types,Task Category,Model,Purpose
Governance,sdlc-pipeline-orchestrator,Specialist,"Delegator, Orchestrator",orchestrate,opus,Top-level workflow-only orchestrator for both SDLC pipelines (PRD-to-Spec and Spec-to-Deployment)
Governance,phase-gate-enforcer,Specialist,"Validator, Decider (Referee)",approve,opus,Referee for every phase gate in both workflows
Governance,constitutional-agent,Specialist,Decider,approve,opus,Appeals court for novel conflicts the Phase Gate Enforcer cannot resolve from existing rules
Governance,advantage-evaluator,Specialist,"Validator, Decider",approve,opus,"Evaluates competitive (non-constitutive) conflicts via speculative execution with rollback: lets the pipeline proceed under a flag, observes the outcome, then commits or reverts"
Governance,context-curator,Specialist,Executor,execute,sonnet,"Owns context integrity across the workforce: assembles role-specific context packets per the least-context principle, and guarantees constitutive constraints survive context compaction verbatim — they are never summarized away"
PRD Creation,prd-creation-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes stakeholder requests through intake, persona, OKR, and PRD drafting work, then hands the draft PRD to prd-validation-lead"
PRD Creation,stakeholder-request-intake-writer,Worker,Executor,execute,sonnet,"Converts raw stakeholder requests into a structured intake brief: requestor, problem, desired outcome, constraints, urgency."
PRD Creation,prd-writer,Worker,Executor,execute,sonnet,"Produces the full PRD from the intake brief, persona profiles, and OKR cascade: feature scope, requirements, success metrics, competitive context."
PRD Creation,persona-profile-writer,Worker,Executor,execute,sonnet,"Generates data-driven persona profiles from research inputs: behavioral segments, jobs-to-be-done, empathy maps."
PRD Creation,okr-writer,Worker,Executor,execute,sonnet,"Derives the OKR cascade from strategy documents and the intake brief: objectives, measurable key results, leading versus lagging indicators."
PRD Validation,prd-validation-lead,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes the PRD to all analysts concurrently, aggregates findings, and reports to Gate 1"
PRD Validation,requirements-clarifier,Worker,Advisor,plan,sonnet,"Identifies ambiguous, incomplete, or conflicting requirements"
PRD Validation,ambiguity-detector,Worker,Validator,test,sonnet,"Scans the PRD for vague quantifiers, missing boundary conditions, and unstated assumptions"
PRD Validation,requirements-conflict-detector,Worker,Validator,test,sonnet,Identifies requirements that contradict each other or the BRD
PRD Validation,brd-traceability-auditor,Worker,Validator,test,sonnet,Validates that every PRD requirement traces to a BRD objective
PRD Validation,constraint-extractor,Worker,Executor,execute,sonnet,Extracts technical constraints from the PRD
PRD Validation,domain-boundary-validator,Worker,Validator,test,sonnet,Confirms the PRD stays within a single bounded context
PRD Validation,dependency-graph-extractor,Worker,Executor,execute,sonnet,"Produces the dependency manifest: services, APIs, events, data contracts"
PRD Validation,completeness-checker,Worker,Validator,test,sonnet,"Validates each requirement has an actor, an action, an observable outcome, and acceptance criteria."
PRD Validation,nfr-analyst,Worker,Advisor,plan,sonnet,Extracts non-functional requirements
Architecture Analysis,architecture-decision-workflow-coordinator,Manager,"Delegator, Orchestrator",orchestrate,sonnet,"Routes analysis tasks to the proposals sub-team, routes proposals to the challenge sub-team, collects all outputs, and routes them to the Architecture Decider"
Architecture Analysis,integration-pattern-architect,Worker,Advisor,plan,opus,"Analyzes integration options: event API patterns, API Gateway routes, sync vs"
Architecture Analysis,persistence-architecture-specialist,Worker,Advisor,plan,opus,"Analyzes DynamoDB schema options, GSI/LSI strategies, single vs"
Architecture Analysis,security-architecture-designer,Worker,Advisor,plan,opus,"Analyzes security approaches: IAM, Cognito flows, encryption, threat model"
Architecture Analysis,cdk-infrastructure-designer,Worker,Advisor,plan,opus,"Analyzes CDK construct options, Lambda boundaries within the chassis, and layer packaging"
Architecture Analysis,event-schema-designer,Worker,Executor,execute,sonnet,Designs event schemas within the event API envelope format
Architecture Analysis,api-contract-designer,Worker,Executor,execute,sonnet,Produces OpenAPI/GraphQL schema proposals
Architecture Analysis,cost-architecture-reviewer,Worker,Advisor,plan,sonnet,Estimates cost per architecture option and identifies cost cliffs
Architecture Analysis,bounded-context-mapper,Worker,Advisor,plan,opus,Maps domain boundaries and identifies context relationships
Architecture Analysis,domain-event-modeler,Worker,Executor,execute,sonnet,"Models domain events, event flows, and event contracts"
Architecture Analysis,ubiquitous-language-writer,Worker,Executor,execute,sonnet,"Captures the ubiquitous language for the bounded context: terms, definitions, and usage rules shared by the domain model and the code."
Architecture Analysis,architecture-pattern-challenger,Worker,Adversary,test,sonnet,Generates a structurally different alternative for each proposal to force non-obvious paths
Architecture Analysis,architecture-tradeoff-skeptic,Worker,Adversary,test,sonnet,"Attacks trade-off ratings: hidden assumptions, optimistic estimates, unconsidered failure modes."
Architecture Analysis,architecture-boundary-guardian,Worker,Validator,test,sonnet,Validates that no proposal introduces cross-context coupling.
Architecture Analysis,adr-completeness-reviewer,Worker,Validator,test,sonnet,Cross-references proposals against existing ADRs
Architecture Analysis,cost-impact-reviewer,Worker,Adversary,test,sonnet,Stress-tests cost estimates at 10x/100x/1000x scale
Architecture Analysis,operational-readiness-reviewer,Worker,Validator,test,sonnet,"Evaluates operational burden of each proposal: monitoring, alerting, runbook complexity, on-call implications."
Architecture Analysis,architecture-decider,Worker,Decider,approve,opus,"Receives all analyses, challenges, and cost data"
